,pcd,oseast1m,osnrth1m,pconcd,pconnm,pconnmw
3069,AB106HA,392948,805109,S14000061,Aberdeen South,
3689,AB115QH,394404,805437,S14000061,Aberdeen South,
4605,AB123LL,393340,800940,S14000061,Aberdeen South,
5556,AB130EH,385704,801808,S14000061,Aberdeen South,
5636,AB140LA,383616,801140,S14000061,Aberdeen South,
6641,AB158JX,390048,805242,S14000061,Aberdeen South,
7311,AB165TY,390620,807656,S14000060,Aberdeen North,
11131,AB210BG,387958,813521,S14000060,Aberdeen North,
12340,AB228UD,392761,810671,S14000060,Aberdeen North,
12494,AB238BR,395131,813700,S14000060,Aberdeen North,
13398,AB243YS,393516,808106,S14000060,Aberdeen North,
14146,AB252QT,393197,806862,S14000060,Aberdeen North,
16744,AB301EL,371187,772849,S14000111,West Aberdeenshire and Kincardine,
17394,AB314BX,368583,797856,S14000111,West Aberdeenshire and Kincardine,
18424,AB326XR,381034,806883,S14000111,West Aberdeenshire and Kincardine,
18713,AB338NP,354926,815718,S14000091,Gordon and Buchan,
19079,AB345JQ,351095,801026,S14000111,West Aberdeenshire and Kincardine,
19259,AB355SX,330305,795883,S14000111,West Aberdeenshire and Kincardine,
19386,AB368UT,335113,812134,S14000111,West Aberdeenshire and Kincardine,
19451,AB379DL,319916,828042,S14000098,"Moray West, Nairn and Strathspey",
19669,AB389SB,326468,844532,S14000098,"Moray West, Nairn and Strathspey",
20102,AB393QA,387134,787598,S14000111,West Aberdeenshire and Kincardine,
24320,AB419FG,394040,831277,S14000091,Gordon and Buchan,
25300,AB423LE,406781,845456,S14000062,Aberdeenshire North and Moray East,
27677,AB437AL,397495,862838,S14000062,Aberdeenshire North and Moray East,
28360,AB441NJ,370724,864364,S14000062,Aberdeenshire North and Moray East,
28955,AB453AB,365669,862558,S14000062,Aberdeenshire North and Moray East,
33221,AB515RY,375805,821927,S14000091,Gordon and Buchan,
33999,AB526LB,363354,828368,S14000091,Gordon and Buchan,
35109,AB538DU,376245,848715,S14000091,Gordon and Buchan,
35975,AB546JN,354830,840805,S14000091,Gordon and Buchan,
36860,AB555HT,340832,848257,S14000062,Aberdeenshire North and Moray East,
37746,AB564DD,344478,865695,S14000062,Aberdeenshire North and Moray East,
607385,DD11PS,339910,730300,S14000075,Dundee Central,
609154,DD109ER,372744,762085,S14000065,Angus and Perthshire Glens,
610067,DD114JN,363291,742423,S14000066,Arbroath and Broughty Ferry,
611474,DD24DJ,336576,731337,S14000075,Dundee Central,
613080,DD38QF,339118,732818,S14000075,Dundee Central,
614375,DD48JG,342444,732561,S14000075,Dundee Central,
615473,DD53JN,347203,732291,S14000066,Arbroath and Broughty Ferry,
616189,DD68QZ,343309,727307,S14000100,North East Fife,
616586,DD77BD,355776,734764,S14000066,Arbroath and Broughty Ferry,
617039,DD81PF,343109,751562,S14000065,Angus and Perthshire Glens,
618614,DD97QU,359569,762126,S14000065,Angus and Perthshire Glens,
650109,DG13PF,299100,576794,S14000073,Dumfries and Galloway,
650951,DG109SF,308355,603665,S14000074,"Dumfriesshire, Clydesdale and Tweeddale",
651433,DG112PJ,315370,580566,S14000074,"Dumfriesshire, Clydesdale and Tweeddale",
651784,DG125HX,320041,566901,S14000074,"Dumfriesshire, Clydesdale and Tweeddale",
652332,DG130NY,334394,586824,S14000074,"Dumfriesshire, Clydesdale and Tweeddale",
